asset,item_id,image_index,pfa_target,target_method,comparator,target_pd,comparator_pd,delta_pd,target_empirical_pfa,target_count,outcome
simMed_test.mat,simMed_test.mat#124,124,0.01,tpsscs_finished_detector,raw,0.6,0.64,-0.040000000000000036,0.0099983208926745,25,loss
simMed_test.mat,simMed_test.mat#125,125,1e-05,tpsscs_finished_detector,raw,0.288135593220339,0.0508474576271186,0.2372881355932204,0.0,59,win
simMed_test.mat,simMed_test.mat#125,125,3e-05,tpsscs_finished_detector,raw,0.288135593220339,0.0508474576271186,0.2372881355932204,1.5272538448615544e-05,59,win
simMed_test.mat,simMed_test.mat#125,125,0.0001,tpsscs_finished_detector,raw,0.3559322033898305,0.1864406779661017,0.1694915254237288,9.163523069169329e-05,59,win
simMed_test.mat,simMed_test.mat#125,125,0.0003,tpsscs_finished_detector,raw,0.423728813559322,0.3220338983050847,0.1016949152542373,0.0002901782305236,59,win
simMed_test.mat,simMed_test.mat#125,125,0.001,tpsscs_finished_detector,raw,0.6101694915254238,0.5084745762711864,0.10169491525423735,0.00099271499916,59,win
simMed_test.mat,simMed_test.mat#125,125,0.003,tpsscs_finished_detector,raw,0.7796610169491526,0.711864406779661,0.06779661016949157,0.0029934175359286,59,win
simMed_test.mat,simMed_test.mat#125,125,0.01,tpsscs_finished_detector,raw,0.9661016949152542,0.7966101694915254,0.1694915254237288,0.0099882401453945,59,win
simMed_test.mat,simMed_test.mat#126,126,1e-05,tpsscs_finished_detector,raw,0.1923076923076923,0.0769230769230769,0.11538461538461539,0.0,26,win
simMed_test.mat,simMed_test.mat#126,126,3e-05,tpsscs_finished_detector,raw,0.2692307692307692,0.1538461538461538,0.11538461538461542,1.5264845061822624e-05,26,win
simMed_test.mat,simMed_test.mat#126,126,0.0001,tpsscs_finished_detector,raw,0.5,0.2307692307692307,0.2692307692307693,9.158907037093572e-05,26,win
