label_budget,label_budget_positive_frames,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
2,2,simMed_test.mat,3e-05,0.23292866331646772,0.24101556163482846,-0.00808689831836072,1.526753812803079e-05,1.4249597611492117e-05,105,315,3,0.5079365079365079,True,True,False,3e-05
2,2,simMed_test.mat,1e-05,0.184544890419632,0.1703230075364029,0.014221882883229111,0.0,0.0,105,315,3,0.5587301587301587,True,True,True,1e-05
2,2,combined,1e-05,0.18453205303478548,0.17066961239414222,0.01386244064064329,0.0,0.0,210,630,3,0.5523809523809524,True,True,True,1e-05
2,2,simWind_test.mat,0.0003,0.5368152651851739,0.6313921597240382,-0.09457689453886421,0.0002900832244325381,0.00028765950567531906,105,315,3,0.19682539682539682,True,True,False,0.0003
2,2,simMed_test.mat,0.003,0.8138666025670928,0.8673424428601525,-0.05347584029305966,0.0029924374730939812,0.0029922435775482153,105,315,3,0.2698412698412698,True,True,False,0.003
2,2,simMed_test.mat,0.001,0.6957533928816516,0.7600370364149275,-0.06428364353327597,0.0009923899783219553,0.0009915173528982342,105,315,3,0.19047619047619047,True,True,False,0.001
2,2,combined,3e-05,0.2358216637678027,0.24393499630494592,-0.008113332537143261,1.526753812803079e-05,1.4346560176710363e-05,210,630,3,0.49206349206349204,True,True,False,3e-05
2,2,combined,0.001,0.7028664531528073,0.7737208319839942,-0.07085437883118695,0.0009923899783219553,0.0009919051928333844,210,630,3,0.18095238095238095,True,True,False,0.001
2,2,combined,0.0003,0.5261399631103596,0.6056591110008495,-0.07951914789048982,0.0002900832244325381,0.0002871988235286077,210,630,3,0.22698412698412698,True,True,False,0.0003
2,2,combined,0.0001,0.3681866997918742,0.42685137172108206,-0.05866467192920791,9.160522876818475e-05,8.896346672757321e-05,210,630,3,0.326984126984127,True,True,False,0.0001
2,2,combined,0.003,0.813040071150322,0.8689398303286644,-0.055899759178342404,0.0029924374730939812,0.0029922678255948497,210,630,3,0.23809523809523808,True,True,False,0.003
2,2,combined,0.01,0.8677902575913438,0.9198701281098802,-0.05207987051853641,0.009992820396478945,0.00997536897321077,210,630,3,0.1761904761904762,True,True,False,0.01
4,4,simMed_test.mat,0.01,0.8692331860864191,0.9327291503215572,-0.06349596423513813,0.009992820396478945,0.00999194814844707,105,315,3,0.11746031746031746,True,True,False,0.01
4,4,simMed_test.mat,1e-05,0.184544890419632,0.179462467438313,0.005082422981319022,0.0,0.0,105,315,3,0.5079365079365079,True,True,True,1e-05
4,4,simMed_test.mat,3e-05,0.23292866331646772,0.2673954450752945,-0.03446678175882675,1.526753812803079e-05,1.51221394069991e-05,105,315,3,0.40634920634920635,True,True,False,3e-05
4,4,simWind_test.mat,0.0001,0.3732452108276595,0.5904818575419327,-0.2172366467142732,9.160522876818475e-05,9.160522876818475e-05,105,315,3,0.047619047619047616,True,True,False,0.0001
4,4,simWind_test.mat,3e-05,0.23871466421913762,0.3774989880223193,-0.13878432380318165,1.526753812803079e-05,1.526753812803079e-05,105,315,3,0.2126984126984127,True,True,False,3e-05
4,4,simWind_test.mat,0.0003,0.5368152651851739,0.7374894104226336,-0.2006741452374597,0.0002900832244325381,0.00029003476904497586,105,315,3,0.047619047619047616,True,True,False,0.0003
