asset,pfa_target,method,method_family,pd_mean,empirical_pfa_mean,n_items
combined,0.001,raw_goca_cfar_local,classical_local_cfar,0.5272812950083596,0.0009923899783220015,210
combined,0.001,raw_os75_cfar_local,classical_local_cfar,0.5302104906417496,0.0009923899783220015,210
combined,0.001,raw_soca_cfar_local,classical_local_cfar,0.008593038138612723,0.0009923899783220015,210
combined,0.001,tpsscs_finished_detector,proposed,0.7028664531528073,0.0009923899783220015,210
combined,0.003,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.7850253353513232,0.002992437473094035,210
combined,0.003,low_rank_residual_k30_global_topk,global,0.7777748117479776,0.002992437473094035,210
combined,0.003,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.7727439622881699,0.002992437473094035,210
combined,0.003,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.7880186552380163,0.002992437473094035,210
combined,0.003,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.006170299124414035,0.002992437473094035,210
combined,0.003,raw_ca_cfar_local,classical_local_cfar,0.6716954629151112,0.002992437473094035,210
combined,0.003,raw_global_topk,global,0.48646260029395705,0.002992437473094035,210
combined,0.003,raw_goca_cfar_local,classical_local_cfar,0.6441140072638234,0.002992437473094035,210
combined,0.003,raw_os75_cfar_local,classical_local_cfar,0.6582969299422209,0.002992437473094035,210
combined,0.003,raw_soca_cfar_local,classical_local_cfar,0.0090692286148032,0.002992437473094035,210
combined,0.003,tpsscs_finished_detector,proposed,0.813040071150322,0.002992437473094035,210
combined,0.01,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.8430329891185718,0.009992820396478995,210
combined,0.01,low_rank_residual_k30_global_topk,global,0.8388051850294409,0.009992820396478995,210
combined,0.01,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.8331140111360165,0.009992820396478995,210
combined,0.01,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.8473335610699323,0.009992820396478995,210
combined,0.01,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.00723678887821029,0.009992820396478995,210
combined,0.01,raw_ca_cfar_local,classical_local_cfar,0.7887113530798018,0.009992820396478995,210
combined,0.01,raw_global_topk,global,0.6550724312569852,0.009992820396478995,210
combined,0.01,raw_goca_cfar_local,classical_local_cfar,0.7668783456041416,0.009992820396478995,210
combined,0.01,raw_os75_cfar_local,classical_local_cfar,0.7841390698937518,0.009992820396478995,210
combined,0.01,raw_soca_cfar_local,classical_local_cfar,0.0090692286148032,0.009992820396478995,210
combined,0.01,tpsscs_finished_detector,proposed,0.8677902575913439,0.009992820396478995,210
